Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 32000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 0.125/35, IDD = 0.00244826
Step 200, t = 0.25/35, IDD = 0.00244345
Step 300, t = 0.375/35, IDD = 0.00243866
Step 400, t = 0.5/35, IDD = 0.00243391
Step 500, t = 0.625/35, IDD = 0.00242919
Step 600, t = 0.75/35, IDD = 0.00242451
Step 700, t = 0.875/35, IDD = 0.00241985
Step 800, t = 1/35, IDD = 0.00241523
Step 900, t = 1.125/35, IDD = 0.00241064
Step 1000, t = 1.25/35, IDD = 0.00240609
Step 1100, t = 1.375/35, IDD = 0.00240157
Step 1200, t = 1.5/35, IDD = 0.00239707
Step 1300, t = 1.625/35, IDD = 0.00239259
Step 1400, t = 1.75/35, IDD = 0.00238813
Step 1500, t = 1.875/35, IDD = 0.00238367
Step 1600, t = 2/35, IDD = 0.00237922
Step 1700, t = 2.125/35, IDD = 0.00237478
Step 1800, t = 2.25/35, IDD = 0.00237034
Step 1900, t = 2.375/35, IDD = 0.0023659
Step 2000, t = 2.5/35, IDD = 0.00236146
Step 2100, t = 2.625/35, IDD = 0.002357
Step 2200, t = 2.75/35, IDD = 0.00235252
Step 2300, t = 2.875/35, IDD = 0.00234801
Step 2400, t = 3/35, IDD = 0.00234349
Step 2500, t = 3.125/35, IDD = 0.00233895
Step 2600, t = 3.25/35, IDD = 0.00233441
Step 2700, t = 3.375/35, IDD = 0.00232988
Step 2800, t = 3.5/35, IDD = 0.00232537
Step 2900, t = 3.625/35, IDD = 0.00232089
Step 3000, t = 3.75/35, IDD = 0.00231643
Step 3100, t = 3.875/35, IDD = 0.00231199
Step 3200, t = 4/35, IDD = 0.00230753
Step 3300, t = 4.125/35, IDD = 0.00230303
Step 3400, t = 4.25/35, IDD = 0.00229845
Step 3500, t = 4.375/35, IDD = 0.00229375
Step 3600, t = 4.5/35, IDD = 0.00228892
Step 3700, t = 4.625/35, IDD = 0.00228395
Step 3800, t = 4.75/35, IDD = 0.00227885
Step 3900, t = 4.875/35, IDD = 0.00227366
Step 4000, t = 5/35, IDD = 0.00226843
Step 4100, t = 5.125/35, IDD = 0.00226326
Step 4200, t = 5.25/35, IDD = 0.00225825
Step 4300, t = 5.375/35, IDD = 0.00225352
Step 4400, t = 5.5/35, IDD = 0.00224919
Step 4500, t = 5.625/35, IDD = 0.00224539
Step 4600, t = 5.75/35, IDD = 0.00224224
Step 4700, t = 5.875/35, IDD = 0.00223982
Step 4800, t = 6/35, IDD = 0.00223821
Step 4900, t = 6.125/35, IDD = 0.00223746
Step 5000, t = 6.25/35, IDD = 0.0022376
Step 5100, t = 6.375/35, IDD = 0.00223862
Step 5200, t = 6.5/35, IDD = 0.0022405
Step 5300, t = 6.625/35, IDD = 0.00224319
Step 5400, t = 6.75/35, IDD = 0.00224664
Step 5500, t = 6.875/35, IDD = 0.00225076
Step 5600, t = 7/35, IDD = 0.00225549
Step 5700, t = 7.125/35, IDD = 0.00226073
Step 5800, t = 7.25/35, IDD = 0.00226642
Step 5900, t = 7.375/35, IDD = 0.00227248
Step 6000, t = 7.5/35, IDD = 0.00227884
Step 6100, t = 7.625/35, IDD = 0.00228544
Step 6200, t = 7.75/35, IDD = 0.00229223
Step 6300, t = 7.875/35, IDD = 0.00229918
Step 6400, t = 8/35, IDD = 0.00230626
Step 6500, t = 8.125/35, IDD = 0.00231345
Step 6600, t = 8.25/35, IDD = 0.00232072
Step 6700, t = 8.375/35, IDD = 0.00232808
Step 6800, t = 8.5/35, IDD = 0.00233551
Step 6900, t = 8.625/35, IDD = 0.00234303
Step 7000, t = 8.75/35, IDD = 0.00235063
Step 7100, t = 8.875/35, IDD = 0.00235833
Step 7200, t = 9/35, IDD = 0.00236611
Step 7300, t = 9.125/35, IDD = 0.002374
Step 7400, t = 9.25/35, IDD = 0.00238201
Step 7500, t = 9.375/35, IDD = 0.00239013
Step 7600, t = 9.5/35, IDD = 0.00239837
Step 7700, t = 9.625/35, IDD = 0.00240675
Step 7800, t = 9.75/35, IDD = 0.00241526
Step 7900, t = 9.875/35, IDD = 0.00242391
Step 8000, t = 10/35, IDD = 0.00243272
Step 8100, t = 10.125/35, IDD = 0.00244168
Step 8200, t = 10.25/35, IDD = 0.00245079
Step 8300, t = 10.375/35, IDD = 0.00246008
Step 8400, t = 10.5/35, IDD = 0.00246952
Step 8500, t = 10.625/35, IDD = 0.00247915
Step 8600, t = 10.75/35, IDD = 0.00248895
Step 8700, t = 10.875/35, IDD = 0.00249893
Step 8800, t = 11/35, IDD = 0.00250911
Step 8900, t = 11.125/35, IDD = 0.00251948
