Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 4000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 1/35, IDD = 0.00241523
Step 200, t = 2/35, IDD = 0.00237922
Step 300, t = 3/35, IDD = 0.00234349
Step 400, t = 4/35, IDD = 0.00230753
Step 500, t = 5/35, IDD = 0.00226843
Step 600, t = 6/35, IDD = 0.00223821
Step 700, t = 7/35, IDD = 0.00225549
Step 800, t = 8/35, IDD = 0.00230626
Step 900, t = 9/35, IDD = 0.00236611
Step 1000, t = 10/35, IDD = 0.00243272
Step 1100, t = 11/35, IDD = 0.00250911
Step 1200, t = 12/35, IDD = 0.00259812
Step 1300, t = 13/35, IDD = 0.00270372
Step 1400, t = 14/35, IDD = 0.00283065
Step 1500, t = 15/35, IDD = 0.00299281
Step 1600, t = 16/35, IDD = 0.00318913
Step 1700, t = 17/35, IDD = 0.00352827
Step 1800, t = 18/35, IDD = 0.0036098
Step 1900, t = 19/35, IDD = 0.00540686
Step 2000, t = 20/35, IDD = 0.00725231
Step 2100, t = 21/35, IDD = 0.00423211
Step 2200, t = 22/35, IDD = 0.000559868
Step 2300, t = 23/35, IDD = -0.00026347
Step 2400, t = 24/35, IDD = -5.24824e-05
Step 2500, t = 25/35, IDD = 1.20831e-05
Step 2600, t = 26/35, IDD = 1.91766e-06
Step 2700, t = 27/35, IDD = -4.70875e-07
Step 2800, t = 28/35, IDD = -3.3858e-08
Step 2900, t = 29/35, IDD = 1.37405e-08
Step 3000, t = 30/35, IDD = -3.76026e-11
Step 3100, t = 31/35, IDD = -2.76653e-10
Step 3200, t = 32/35, IDD = 1.81543e-11
Step 3300, t = 33/35, IDD = 3.5265e-12
Step 3400, t = 34/35, IDD = -5.12407e-13
Step 3500, t = 35/35, IDD = -1.86004e-14
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
