Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 32000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 0.125/8, IDD = 0.00378335
Step 200, t = 0.25/8, IDD = 0.00393684
Step 300, t = 0.375/8, IDD = 0.00399675
Step 400, t = 0.5/8, IDD = 0.00402713
Step 500, t = 0.625/8, IDD = 0.00406325
Step 600, t = 0.75/8, IDD = 0.0041614
Step 700, t = 0.875/8, IDD = 0.00420093
Step 800, t = 1/8, IDD = 0.004235
Step 900, t = 1.125/8, IDD = 0.00428433
Step 1000, t = 1.25/8, IDD = 0.00439856
Step 1100, t = 1.375/8, IDD = 0.00446039
Step 1200, t = 1.5/8, IDD = 0.00451211
Step 1300, t = 1.625/8, IDD = 0.00456088
Step 1400, t = 1.75/8, IDD = 0.00463943
Step 1500, t = 1.875/8, IDD = 0.00468962
Step 1600, t = 2/8, IDD = 0.0047378
Step 1700, t = 2.125/8, IDD = 0.00478515
Step 1800, t = 2.25/8, IDD = 0.00487203
Step 1900, t = 2.375/8, IDD = 0.0049331
Step 2000, t = 2.5/8, IDD = 0.00498897
Step 2100, t = 2.625/8, IDD = 0.00504617
Step 2200, t = 2.75/8, IDD = 0.00512564
Step 2300, t = 2.875/8, IDD = 0.00518444
Step 2400, t = 3/8, IDD = 0.00525029
Step 2500, t = 3.125/8, IDD = 0.00532914
Step 2600, t = 3.25/8, IDD = 0.00540744
Step 2700, t = 3.375/8, IDD = 0.00547742
Step 2800, t = 3.5/8, IDD = 0.00554964
Step 2900, t = 3.625/8, IDD = 0.00563962
Step 3000, t = 3.75/8, IDD = 0.00572476
Step 3100, t = 3.875/8, IDD = 0.00581284
Step 3200, t = 4/8, IDD = 0.00591487
Step 3300, t = 4.125/8, IDD = 0.00601128
Step 3400, t = 4.25/8, IDD = 0.00610796
Step 3500, t = 4.375/8, IDD = 0.00621815
Step 3600, t = 4.5/8, IDD = 0.00633169
Step 3700, t = 4.625/8, IDD = 0.00645155
Step 3800, t = 4.75/8, IDD = 0.00659383
Step 3900, t = 4.875/8, IDD = 0.00674683
Step 4000, t = 5/8, IDD = 0.00692071
Step 4100, t = 5.125/8, IDD = 0.00710665
Step 4200, t = 5.25/8, IDD = 0.00728183
Step 4300, t = 5.375/8, IDD = 0.0074528
Step 4400, t = 5.5/8, IDD = 0.00760762
Step 4500, t = 5.625/8, IDD = 0.0077735
Step 4600, t = 5.75/8, IDD = 0.00796232
Step 4700, t = 5.875/8, IDD = 0.00820141
Step 4800, t = 6/8, IDD = 0.00852058
Step 4900, t = 6.125/8, IDD = 0.00894497
Step 5000, t = 6.25/8, IDD = 0.00952936
Step 5100, t = 6.375/8, IDD = 0.0102408
Step 5200, t = 6.5/8, IDD = 0.0110081
Step 5300, t = 6.625/8, IDD = 0.011743
Step 5400, t = 6.75/8, IDD = 0.0123524
Step 5500, t = 6.875/8, IDD = 0.0127477
Step 5600, t = 7/8, IDD = 0.0128641
Step 5700, t = 7.125/8, IDD = 0.0126659
Step 5800, t = 7.25/8, IDD = 0.012149
Step 5900, t = 7.375/8, IDD = 0.01134
Step 6000, t = 7.5/8, IDD = 0.010292
Step 6100, t = 7.625/8, IDD = 0.00907639
Step 6200, t = 7.75/8, IDD = 0.00776978
Step 6300, t = 7.875/8, IDD = 0.0064491
Step 6400, t = 8/8, IDD = 0.00518306
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
