Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 8000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 0.5/35, IDD = 0.00243391
Step 200, t = 1/35, IDD = 0.00241523
Step 300, t = 1.5/35, IDD = 0.00239707
Step 400, t = 2/35, IDD = 0.00237922
Step 500, t = 2.5/35, IDD = 0.00236146
Step 600, t = 3/35, IDD = 0.00234349
Step 700, t = 3.5/35, IDD = 0.00232537
Step 800, t = 4/35, IDD = 0.00230753
Step 900, t = 4.5/35, IDD = 0.00228892
Step 1000, t = 5/35, IDD = 0.00226843
Step 1100, t = 5.5/35, IDD = 0.00224919
Step 1200, t = 6/35, IDD = 0.00223821
Step 1300, t = 6.5/35, IDD = 0.0022405
Step 1400, t = 7/35, IDD = 0.00225549
Step 1500, t = 7.5/35, IDD = 0.00227884
Step 1600, t = 8/35, IDD = 0.00230626
Step 1700, t = 8.5/35, IDD = 0.00233551
Step 1800, t = 9/35, IDD = 0.00236611
Step 1900, t = 9.5/35, IDD = 0.00239837
Step 2000, t = 10/35, IDD = 0.00243272
Step 2100, t = 10.5/35, IDD = 0.00246952
Step 2200, t = 11/35, IDD = 0.00250911
Step 2300, t = 11.5/35, IDD = 0.00255184
Step 2400, t = 12/35, IDD = 0.00259812
Step 2500, t = 12.5/35, IDD = 0.00264846
Step 2600, t = 13/35, IDD = 0.00270372
Step 2700, t = 13.5/35, IDD = 0.00276415
Step 2800, t = 14/35, IDD = 0.00283065
Step 2900, t = 14.5/35, IDD = 0.00290778
Step 3000, t = 15/35, IDD = 0.00299281
Step 3100, t = 15.5/35, IDD = 0.00307736
Step 3200, t = 16/35, IDD = 0.00318912
Step 3300, t = 16.5/35, IDD = 0.00336491
Step 3400, t = 17/35, IDD = 0.00352828
Step 3500, t = 17.5/35, IDD = 0.00355722
Step 3600, t = 18/35, IDD = 0.00360967
Step 3700, t = 18.5/35, IDD = 0.00415744
Step 3800, t = 19/35, IDD = 0.00540709
Step 3900, t = 19.5/35, IDD = 0.00677987
Step 4000, t = 20/35, IDD = 0.0072523
Step 4100, t = 20.5/35, IDD = 0.00627173
Step 4200, t = 21/35, IDD = 0.00423181
Step 4300, t = 21.5/35, IDD = 0.00207678
Step 4400, t = 22/35, IDD = 0.000559888
Step 4500, t = 22.5/35, IDD = -0.000136808
Step 4600, t = 23/35, IDD = -0.000263382
Step 4700, t = 23.5/35, IDD = -0.000162858
Step 4800, t = 24/35, IDD = -5.24801e-05
Step 4900, t = 24.5/35, IDD = 1.35611e-06
Step 5000, t = 25/35, IDD = 1.20759e-05
Step 5100, t = 25.5/35, IDD = 7.17324e-06
Step 5200, t = 26/35, IDD = 1.91779e-06
Step 5300, t = 26.5/35, IDD = -2.32125e-07
Step 5400, t = 27/35, IDD = -4.70547e-07
Step 5500, t = 27.5/35, IDD = -2.13547e-07
Step 5600, t = 28/35, IDD = -3.38843e-08
Step 5700, t = 28.5/35, IDD = 1.69492e-08
Step 5800, t = 29/35, IDD = 1.37319e-08
Step 5900, t = 29.5/35, IDD = 4.14204e-09
Step 6000, t = 30/35, IDD = -3.62435e-11
Step 6100, t = 30.5/35, IDD = -6.10712e-10
Step 6200, t = 31/35, IDD = -2.76544e-10
Step 6300, t = 31.5/35, IDD = -4.20721e-11
Step 6400, t = 32/35, IDD = 1.81165e-11
Step 6500, t = 32.5/35, IDD = 1.34694e-11
Step 6600, t = 33/35, IDD = 3.52718e-12
Step 6700, t = 33.5/35, IDD = -1.80704e-13
Step 6800, t = 34/35, IDD = -5.11776e-13
Step 6900, t = 34.5/35, IDD = -1.92389e-13
Step 7000, t = 35/35, IDD = -1.86578e-14
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
