Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 2000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 2/35, IDD = 0.00237922
Step 200, t = 4/35, IDD = 0.00230753
Step 300, t = 6/35, IDD = 0.00223821
Step 400, t = 8/35, IDD = 0.00230626
Step 500, t = 10/35, IDD = 0.00243272
Step 600, t = 12/35, IDD = 0.00259812
Step 700, t = 14/35, IDD = 0.00283066
Step 800, t = 16/35, IDD = 0.00318914
Step 900, t = 18/35, IDD = 0.00361029
Step 1000, t = 20/35, IDD = 0.00725227
Step 1100, t = 22/35, IDD = 0.000559775
Step 1200, t = 24/35, IDD = -5.24915e-05
Step 1300, t = 26/35, IDD = 1.91711e-06
Step 1400, t = 28/35, IDD = -3.37527e-08
Step 1500, t = 30/35, IDD = -4.30669e-11
Step 1600, t = 32/35, IDD = 1.83059e-11
Step 1700, t = 34/35, IDD = -5.14932e-13
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
