Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 32000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 0.125/35, IDD = 0.00480093
Step 200, t = 0.25/35, IDD = 0.00479524
Step 300, t = 0.375/35, IDD = 0.00478958
Step 400, t = 0.5/35, IDD = 0.00478395
Step 500, t = 0.625/35, IDD = 0.00477834
Step 600, t = 0.75/35, IDD = 0.00477275
Step 700, t = 0.875/35, IDD = 0.00476719
Step 800, t = 1/35, IDD = 0.00476166
Step 900, t = 1.125/35, IDD = 0.00475615
Step 1000, t = 1.25/35, IDD = 0.00475067
Step 1100, t = 1.375/35, IDD = 0.00474521
Step 1200, t = 1.5/35, IDD = 0.00473976
Step 1300, t = 1.625/35, IDD = 0.00473433
Step 1400, t = 1.75/35, IDD = 0.0047289
Step 1500, t = 1.875/35, IDD = 0.00472346
Step 1600, t = 2/35, IDD = 0.00471802
Step 1700, t = 2.125/35, IDD = 0.00471257
Step 1800, t = 2.25/35, IDD = 0.00470711
Step 1900, t = 2.375/35, IDD = 0.00470163
Step 2000, t = 2.5/35, IDD = 0.00469613
Step 2100, t = 2.625/35, IDD = 0.00469061
Step 2200, t = 2.75/35, IDD = 0.00468505
Step 2300, t = 2.875/35, IDD = 0.00467947
Step 2400, t = 3/35, IDD = 0.00467385
Step 2500, t = 3.125/35, IDD = 0.0046682
Step 2600, t = 3.25/35, IDD = 0.00466253
Step 2700, t = 3.375/35, IDD = 0.00465682
Step 2800, t = 3.5/35, IDD = 0.00465109
Step 2900, t = 3.625/35, IDD = 0.00464534
Step 3000, t = 3.75/35, IDD = 0.00463956
Step 3100, t = 3.875/35, IDD = 0.00463377
Step 3200, t = 4/35, IDD = 0.00462794
Step 3300, t = 4.125/35, IDD = 0.0046221
Step 3400, t = 4.25/35, IDD = 0.00461623
Step 3500, t = 4.375/35, IDD = 0.00461035
Step 3600, t = 4.5/35, IDD = 0.00460444
Step 3700, t = 4.625/35, IDD = 0.00459851
Step 3800, t = 4.75/35, IDD = 0.00459257
Step 3900, t = 4.875/35, IDD = 0.00458663
Step 4000, t = 5/35, IDD = 0.00458067
Step 4100, t = 5.125/35, IDD = 0.00457472
Step 4200, t = 5.25/35, IDD = 0.00456879
Step 4300, t = 5.375/35, IDD = 0.00456287
Step 4400, t = 5.5/35, IDD = 0.00455698
Step 4500, t = 5.625/35, IDD = 0.00455111
Step 4600, t = 5.75/35, IDD = 0.00454528
Step 4700, t = 5.875/35, IDD = 0.00453948
Step 4800, t = 6/35, IDD = 0.0045337
Step 4900, t = 6.125/35, IDD = 0.00452793
Step 5000, t = 6.25/35, IDD = 0.00452217
Step 5100, t = 6.375/35, IDD = 0.0045164
Step 5200, t = 6.5/35, IDD = 0.0045106
Step 5300, t = 6.625/35, IDD = 0.00450476
Step 5400, t = 6.75/35, IDD = 0.00449886
Step 5500, t = 6.875/35, IDD = 0.00449289
Step 5600, t = 7/35, IDD = 0.00448683
Step 5700, t = 7.125/35, IDD = 0.00448069
Step 5800, t = 7.25/35, IDD = 0.00447446
Step 5900, t = 7.375/35, IDD = 0.00446814
Step 6000, t = 7.5/35, IDD = 0.00446177
Step 6100, t = 7.625/35, IDD = 0.00445534
Step 6200, t = 7.75/35, IDD = 0.0044489
Step 6300, t = 7.875/35, IDD = 0.00444248
Step 6400, t = 8/35, IDD = 0.00443613
Step 6500, t = 8.125/35, IDD = 0.00442989
Step 6600, t = 8.25/35, IDD = 0.00442382
Step 6700, t = 8.375/35, IDD = 0.00441799
Step 6800, t = 8.5/35, IDD = 0.00441244
Step 6900, t = 8.625/35, IDD = 0.00440725
Step 7000, t = 8.75/35, IDD = 0.00440246
Step 7100, t = 8.875/35, IDD = 0.00439815
Step 7200, t = 9/35, IDD = 0.00439435
Step 7300, t = 9.125/35, IDD = 0.00439112
Step 7400, t = 9.25/35, IDD = 0.0043885
Step 7500, t = 9.375/35, IDD = 0.00438652
Step 7600, t = 9.5/35, IDD = 0.00438522
Step 7700, t = 9.625/35, IDD = 0.0043846
Step 7800, t = 9.75/35, IDD = 0.00438467
Step 7900, t = 9.875/35, IDD = 0.00438544
Step 8000, t = 10/35, IDD = 0.00438691
Step 8100, t = 10.125/35, IDD = 0.00438906
Step 8200, t = 10.25/35, IDD = 0.00439186
Step 8300, t = 10.375/35, IDD = 0.0043953
Step 8400, t = 10.5/35, IDD = 0.00439934
Step 8500, t = 10.625/35, IDD = 0.00440396
Step 8600, t = 10.75/35, IDD = 0.00440911
Step 8700, t = 10.875/35, IDD = 0.00441475
Step 8800, t = 11/35, IDD = 0.00442085
Step 8900, t = 11.125/35, IDD = 0.00442737
Step 9000, t = 11.25/35, IDD = 0.00443426
Step 9100, t = 11.375/35, IDD = 0.00444149
Step 9200, t = 11.5/35, IDD = 0.00444901
Step 9300, t = 11.625/35, IDD = 0.00445681
Step 9400, t = 11.75/35, IDD = 0.00446484
Step 9500, t = 11.875/35, IDD = 0.00447307
Step 9600, t = 12/35, IDD = 0.00448148
Step 9700, t = 12.125/35, IDD = 0.00449004
Step 9800, t = 12.25/35, IDD = 0.00449874
Step 9900, t = 12.375/35, IDD = 0.00450756
Step 10000, t = 12.5/35, IDD = 0.00451648
Step 10100, t = 12.625/35, IDD = 0.00452549
Step 10200, t = 12.75/35, IDD = 0.00453459
Step 10300, t = 12.875/35, IDD = 0.00454375
Step 10400, t = 13/35, IDD = 0.00455299
Step 10500, t = 13.125/35, IDD = 0.00456229
Step 10600, t = 13.25/35, IDD = 0.00457166
Step 10700, t = 13.375/35, IDD = 0.00458109
Step 10800, t = 13.5/35, IDD = 0.00459058
Step 10900, t = 13.625/35, IDD = 0.00460014
Step 11000, t = 13.75/35, IDD = 0.00460976
Step 11100, t = 13.875/35, IDD = 0.00461946
Step 11200, t = 14/35, IDD = 0.00462923
Step 11300, t = 14.125/35, IDD = 0.00463908
Step 11400, t = 14.25/35, IDD = 0.00464901
Step 11500, t = 14.375/35, IDD = 0.00465902
Step 11600, t = 14.5/35, IDD = 0.00466912
Step 11700, t = 14.625/35, IDD = 0.00467931
Step 11800, t = 14.75/35, IDD = 0.00468959
Step 11900, t = 14.875/35, IDD = 0.00469998
Step 12000, t = 15/35, IDD = 0.00471046
Step 12100, t = 15.125/35, IDD = 0.00472105
Step 12200, t = 15.25/35, IDD = 0.00473175
Step 12300, t = 15.375/35, IDD = 0.00474256
Step 12400, t = 15.5/35, IDD = 0.00475348
Step 12500, t = 15.625/35, IDD = 0.00476452
Step 12600, t = 15.75/35, IDD = 0.00477568
Step 12700, t = 15.875/35, IDD = 0.00478696
Step 12800, t = 16/35, IDD = 0.00479836
Step 12900, t = 16.125/35, IDD = 0.00480989
Step 13000, t = 16.25/35, IDD = 0.00482155
Step 13100, t = 16.375/35, IDD = 0.00483334
Step 13200, t = 16.5/35, IDD = 0.00484527
Step 13300, t = 16.625/35, IDD = 0.00485733
Step 13400, t = 16.75/35, IDD = 0.00486953
Step 13500, t = 16.875/35, IDD = 0.00488187
Step 13600, t = 17/35, IDD = 0.00489436
Step 13700, t = 17.125/35, IDD = 0.00490699
Step 13800, t = 17.25/35, IDD = 0.00491978
Step 13900, t = 17.375/35, IDD = 0.00493271
Step 14000, t = 17.5/35, IDD = 0.00494581
Step 14100, t = 17.625/35, IDD = 0.00495907
Step 14200, t = 17.75/35, IDD = 0.00497249
Step 14300, t = 17.875/35, IDD = 0.00498607
Step 14400, t = 18/35, IDD = 0.00499983
Step 14500, t = 18.125/35, IDD = 0.00501376
Step 14600, t = 18.25/35, IDD = 0.00502787
Step 14700, t = 18.375/35, IDD = 0.00504216
Step 14800, t = 18.5/35, IDD = 0.00505662
Step 14900, t = 18.625/35, IDD = 0.00507128
Step 15000, t = 18.75/35, IDD = 0.00508612
Step 15100, t = 18.875/35, IDD = 0.00510116
Step 15200, t = 19/35, IDD = 0.00511639
Step 15300, t = 19.125/35, IDD = 0.00513183
Step 15400, t = 19.25/35, IDD = 0.00514747
Step 15500, t = 19.375/35, IDD = 0.00516334
Step 15600, t = 19.5/35, IDD = 0.00517943
Step 15700, t = 19.625/35, IDD = 0.00519576
Step 15800, t = 19.75/35, IDD = 0.00521234
Step 15900, t = 19.875/35, IDD = 0.00522917
Step 16000, t = 20/35, IDD = 0.00524625
Step 16100, t = 20.125/35, IDD = 0.0052636
Step 16200, t = 20.25/35, IDD = 0.00528121
Step 16300, t = 20.375/35, IDD = 0.00529908
Step 16400, t = 20.5/35, IDD = 0.00531721
Step 16500, t = 20.625/35, IDD = 0.00533559
Step 16600, t = 20.75/35, IDD = 0.00535421
Step 16700, t = 20.875/35, IDD = 0.00537308
Step 16800, t = 21/35, IDD = 0.00539218
Step 16900, t = 21.125/35, IDD = 0.00541154
Step 17000, t = 21.25/35, IDD = 0.00543115
Step 17100, t = 21.375/35, IDD = 0.00545104
Step 17200, t = 21.5/35, IDD = 0.00547125
Step 17300, t = 21.625/35, IDD = 0.0054918
Step 17400, t = 21.75/35, IDD = 0.00551276
Step 17500, t = 21.875/35, IDD = 0.00553418
Step 17600, t = 22/35, IDD = 0.0055561
Step 17700, t = 22.125/35, IDD = 0.00557858
Step 17800, t = 22.25/35, IDD = 0.00560165
Step 17900, t = 22.375/35, IDD = 0.00562534
Step 18000, t = 22.5/35, IDD = 0.00564966
Step 18100, t = 22.625/35, IDD = 0.00567456
Step 18200, t = 22.75/35, IDD = 0.00570001
Step 18300, t = 22.875/35, IDD = 0.00572593
Step 18400, t = 23/35, IDD = 0.0057522
Step 18500, t = 23.125/35, IDD = 0.00577871
Step 18600, t = 23.25/35, IDD = 0.00580532
Step 18700, t = 23.375/35, IDD = 0.00583191
Step 18800, t = 23.5/35, IDD = 0.00585838
Step 18900, t = 23.625/35, IDD = 0.00588465
Step 19000, t = 23.75/35, IDD = 0.00591072
Step 19100, t = 23.875/35, IDD = 0.00593663
Step 19200, t = 24/35, IDD = 0.00596251
Step 19300, t = 24.125/35, IDD = 0.00598859
Step 19400, t = 24.25/35, IDD = 0.00601517
Step 19500, t = 24.375/35, IDD = 0.00604262
Step 19600, t = 24.5/35, IDD = 0.0060714
Step 19700, t = 24.625/35, IDD = 0.006102
Step 19800, t = 24.75/35, IDD = 0.00613492
Step 19900, t = 24.875/35, IDD = 0.00617065
Step 20000, t = 25/35, IDD = 0.00620959
