Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 4000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 1/35, IDD = 0.00476166
Step 200, t = 2/35, IDD = 0.00471802
Step 300, t = 3/35, IDD = 0.00467385
Step 400, t = 4/35, IDD = 0.00462794
Step 500, t = 5/35, IDD = 0.00458067
Step 600, t = 6/35, IDD = 0.0045337
Step 700, t = 7/35, IDD = 0.00448683
Step 800, t = 8/35, IDD = 0.00443613
Step 900, t = 9/35, IDD = 0.00439435
Step 1000, t = 10/35, IDD = 0.00438691
Step 1100, t = 11/35, IDD = 0.00442085
Step 1200, t = 12/35, IDD = 0.00448148
Step 1300, t = 13/35, IDD = 0.00455299
Step 1400, t = 14/35, IDD = 0.00462923
Step 1500, t = 15/35, IDD = 0.00471046
Step 1600, t = 16/35, IDD = 0.00479836
Step 1700, t = 17/35, IDD = 0.00489436
Step 1800, t = 18/35, IDD = 0.00499983
Step 1900, t = 19/35, IDD = 0.00511639
Step 2000, t = 20/35, IDD = 0.00524625
Step 2100, t = 21/35, IDD = 0.00539218
Step 2200, t = 22/35, IDD = 0.0055561
Step 2300, t = 23/35, IDD = 0.0057522
Step 2400, t = 24/35, IDD = 0.00596252
Step 2500, t = 25/35, IDD = 0.00620959
Step 2600, t = 26/35, IDD = 0.00663567
Step 2700, t = 27/35, IDD = 0.006965
Step 2800, t = 28/35, IDD = 0.00697624
Step 2900, t = 29/35, IDD = 0.00799926
Step 3000, t = 30/35, IDD = 0.0111067
Step 3100, t = 31/35, IDD = 0.0139392
Step 3200, t = 32/35, IDD = 0.0129415
Step 3300, t = 33/35, IDD = 0.00817278
Step 3400, t = 34/35, IDD = 0.00304087
Step 3500, t = 35/35, IDD = 0.000160976
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
