Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.01 GiB
  Estimated current peak: 0.22 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.61 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 2000x8x8, Energy: 500, Angle: 7x7
Step 100, t = 2/40, IDD = 0.00440447
Step 200, t = 4/40, IDD = 0.00692633
Step 300, t = 6/40, IDD = -3.04192e-12
Step 400, t = 8/40, IDD = 1.3985e-39
Step 500, t = 10/40, IDD = 1.74192e-67
Step 600, t = 12/40, IDD = 1.95874e-94
Step 700, t = 14/40, IDD = -6.60921e-121
Step 800, t = 16/40, IDD = -1.4594e-147
Step 900, t = 18/40, IDD = 2.34671e-174
Step 1000, t = 20/40, IDD = 9.6407e-201
Step 1100, t = 22/40, IDD = -5.45466e-228
Step 1200, t = 24/40, IDD = -5.74334e-254
Step 1300, t = 26/40, IDD = -1.3924e-281
Step 1400, t = 28/40, IDD = 3.08851e-307
Step 1500, t = 30/40, IDD = -1.73022e-320
Step 1600, t = 32/40, IDD = -2.24948e-320
Step 1700, t = 34/40, IDD = -2.7475e-320
Step 1800, t = 36/40, IDD = -1.78605e-320
Step 1900, t = 38/40, IDD = -1.88387e-320
Step 2000, t = 40/40, IDD = -1.6482e-320
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
