Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 32000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 0.125/5, IDD = 0.00190184
Step 200, t = 0.25/5, IDD = 0.00192326
Step 300, t = 0.375/5, IDD = 0.00194556
Step 400, t = 0.5/5, IDD = 0.00196879
Step 500, t = 0.625/5, IDD = 0.00199304
Step 600, t = 0.75/5, IDD = 0.00201837
Step 700, t = 0.875/5, IDD = 0.00204486
Step 800, t = 1/5, IDD = 0.00207262
Step 900, t = 1.125/5, IDD = 0.00210174
Step 1000, t = 1.25/5, IDD = 0.00213233
Step 1100, t = 1.375/5, IDD = 0.00216454
Step 1200, t = 1.5/5, IDD = 0.00219847
Step 1300, t = 1.625/5, IDD = 0.00223424
Step 1400, t = 1.75/5, IDD = 0.00227207
Step 1500, t = 1.875/5, IDD = 0.00231213
Step 1600, t = 2/5, IDD = 0.00235435
Step 1700, t = 2.125/5, IDD = 0.00239905
Step 1800, t = 2.25/5, IDD = 0.00244749
Step 1900, t = 2.375/5, IDD = 0.00250039
Step 2000, t = 2.5/5, IDD = 0.00255573
Step 2100, t = 2.625/5, IDD = 0.00261077
Step 2200, t = 2.75/5, IDD = 0.00266868
Step 2300, t = 2.875/5, IDD = 0.00274079
Step 2400, t = 3/5, IDD = 0.00283651
Step 2500, t = 3.125/5, IDD = 0.0029474
Step 2600, t = 3.25/5, IDD = 0.00304375
Step 2700, t = 3.375/5, IDD = 0.00309575
Step 2800, t = 3.5/5, IDD = 0.00310854
Step 2900, t = 3.625/5, IDD = 0.003143
Step 3000, t = 3.75/5, IDD = 0.00329965
Step 3100, t = 3.875/5, IDD = 0.00366798
Step 3200, t = 4/5, IDD = 0.00426872
Step 3300, t = 4.125/5, IDD = 0.00502298
Step 3400, t = 4.25/5, IDD = 0.00576705
Step 3500, t = 4.375/5, IDD = 0.00630609
Step 3600, t = 4.5/5, IDD = 0.00648093
Step 3700, t = 4.625/5, IDD = 0.00621892
Step 3800, t = 4.75/5, IDD = 0.00555052
Step 3900, t = 4.875/5, IDD = 0.00459052
Step 4000, t = 5/5, IDD = 0.00349699
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
