Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.01 GiB
  Estimated current peak: 0.22 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.61 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 2000x8x8, Energy: 500, Angle: 7x7
Step 100, t = 2/40, IDD = 0.0080165
Step 200, t = 4/40, IDD = 0.00942181
Step 300, t = 6/40, IDD = 0.0125355
Step 400, t = 8/40, IDD = 0.000761192
Step 500, t = 10/40, IDD = 5.3234e-30
Step 600, t = 12/40, IDD = 5.81617e-54
Step 700, t = 14/40, IDD = 5.48739e-78
Step 800, t = 16/40, IDD = 5.0531e-102
Step 900, t = 18/40, IDD = 4.63718e-126
Step 1000, t = 20/40, IDD = 4.2561e-150
Step 1100, t = 22/40, IDD = 3.90829e-174
Step 1200, t = 24/40, IDD = 3.59021e-198
Step 1300, t = 26/40, IDD = 3.29872e-222
Step 1400, t = 28/40, IDD = 3.03126e-246
Step 1500, t = 30/40, IDD = 2.78567e-270
Step 1600, t = 32/40, IDD = 2.56006e-294
Step 1700, t = 34/40, IDD = 3.16032e-318
Step 1800, t = 36/40, IDD = 8.03341e-319
Step 1900, t = 38/40, IDD = 8.07125e-319
Step 2000, t = 40/40, IDD = 8.17763e-319
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
