Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 16000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 0.25/35, IDD = 0.00479524
Step 200, t = 0.5/35, IDD = 0.00478395
Step 300, t = 0.75/35, IDD = 0.00477275
Step 400, t = 1/35, IDD = 0.00476166
Step 500, t = 1.25/35, IDD = 0.00475067
Step 600, t = 1.5/35, IDD = 0.00473976
Step 700, t = 1.75/35, IDD = 0.0047289
Step 800, t = 2/35, IDD = 0.00471802
Step 900, t = 2.25/35, IDD = 0.00470711
Step 1000, t = 2.5/35, IDD = 0.00469613
Step 1100, t = 2.75/35, IDD = 0.00468505
Step 1200, t = 3/35, IDD = 0.00467385
Step 1300, t = 3.25/35, IDD = 0.00466253
Step 1400, t = 3.5/35, IDD = 0.00465109
Step 1500, t = 3.75/35, IDD = 0.00463956
Step 1600, t = 4/35, IDD = 0.00462794
Step 1700, t = 4.25/35, IDD = 0.00461623
Step 1800, t = 4.5/35, IDD = 0.00460444
Step 1900, t = 4.75/35, IDD = 0.00459257
Step 2000, t = 5/35, IDD = 0.00458067
Step 2100, t = 5.25/35, IDD = 0.00456879
Step 2200, t = 5.5/35, IDD = 0.00455698
Step 2300, t = 5.75/35, IDD = 0.00454528
Step 2400, t = 6/35, IDD = 0.0045337
Step 2500, t = 6.25/35, IDD = 0.00452217
Step 2600, t = 6.5/35, IDD = 0.0045106
Step 2700, t = 6.75/35, IDD = 0.00449886
Step 2800, t = 7/35, IDD = 0.00448683
Step 2900, t = 7.25/35, IDD = 0.00447446
Step 3000, t = 7.5/35, IDD = 0.00446177
Step 3100, t = 7.75/35, IDD = 0.0044489
Step 3200, t = 8/35, IDD = 0.00443613
Step 3300, t = 8.25/35, IDD = 0.00442382
Step 3400, t = 8.5/35, IDD = 0.00441244
Step 3500, t = 8.75/35, IDD = 0.00440246
Step 3600, t = 9/35, IDD = 0.00439435
Step 3700, t = 9.25/35, IDD = 0.0043885
Step 3800, t = 9.5/35, IDD = 0.00438522
Step 3900, t = 9.75/35, IDD = 0.00438467
Step 4000, t = 10/35, IDD = 0.00438691
Step 4100, t = 10.25/35, IDD = 0.00439186
Step 4200, t = 10.5/35, IDD = 0.00439934
Step 4300, t = 10.75/35, IDD = 0.00440911
Step 4400, t = 11/35, IDD = 0.00442085
Step 4500, t = 11.25/35, IDD = 0.00443426
Step 4600, t = 11.5/35, IDD = 0.00444901
Step 4700, t = 11.75/35, IDD = 0.00446484
Step 4800, t = 12/35, IDD = 0.00448148
Step 4900, t = 12.25/35, IDD = 0.00449874
Step 5000, t = 12.5/35, IDD = 0.00451648
Step 5100, t = 12.75/35, IDD = 0.00453459
Step 5200, t = 13/35, IDD = 0.00455299
Step 5300, t = 13.25/35, IDD = 0.00457166
Step 5400, t = 13.5/35, IDD = 0.00459058
Step 5500, t = 13.75/35, IDD = 0.00460976
Step 5600, t = 14/35, IDD = 0.00462923
Step 5700, t = 14.25/35, IDD = 0.00464901
Step 5800, t = 14.5/35, IDD = 0.00466912
Step 5900, t = 14.75/35, IDD = 0.00468959
Step 6000, t = 15/35, IDD = 0.00471046
Step 6100, t = 15.25/35, IDD = 0.00473175
Step 6200, t = 15.5/35, IDD = 0.00475348
Step 6300, t = 15.75/35, IDD = 0.00477568
Step 6400, t = 16/35, IDD = 0.00479836
Step 6500, t = 16.25/35, IDD = 0.00482155
Step 6600, t = 16.5/35, IDD = 0.00484527
Step 6700, t = 16.75/35, IDD = 0.00486953
Step 6800, t = 17/35, IDD = 0.00489436
Step 6900, t = 17.25/35, IDD = 0.00491978
Step 7000, t = 17.5/35, IDD = 0.00494581
Step 7100, t = 17.75/35, IDD = 0.00497249
Step 7200, t = 18/35, IDD = 0.00499983
Step 7300, t = 18.25/35, IDD = 0.00502787
Step 7400, t = 18.5/35, IDD = 0.00505662
Step 7500, t = 18.75/35, IDD = 0.00508612
Step 7600, t = 19/35, IDD = 0.00511639
Step 7700, t = 19.25/35, IDD = 0.00514747
Step 7800, t = 19.5/35, IDD = 0.00517943
Step 7900, t = 19.75/35, IDD = 0.00521234
Step 8000, t = 20/35, IDD = 0.00524625
Step 8100, t = 20.25/35, IDD = 0.00528121
Step 8200, t = 20.5/35, IDD = 0.00531721
Step 8300, t = 20.75/35, IDD = 0.00535421
Step 8400, t = 21/35, IDD = 0.00539218
Step 8500, t = 21.25/35, IDD = 0.00543115
