Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 2000x6x6, Energy: 50, Angle: 5x5
Step 100, t = 2/35, IDD = 0.00471802
Step 200, t = 4/35, IDD = 0.00462794
Step 300, t = 6/35, IDD = 0.00453369
Step 400, t = 8/35, IDD = 0.00443613
Step 500, t = 10/35, IDD = 0.00438691
Step 600, t = 12/35, IDD = 0.00448148
Step 700, t = 14/35, IDD = 0.00462923
Step 800, t = 16/35, IDD = 0.00479836
Step 900, t = 18/35, IDD = 0.00499983
Step 1000, t = 20/35, IDD = 0.00524625
Step 1100, t = 22/35, IDD = 0.0055561
Step 1200, t = 24/35, IDD = 0.00596254
Step 1300, t = 26/35, IDD = 0.00663555
Step 1400, t = 28/35, IDD = 0.00697664
Step 1500, t = 30/35, IDD = 0.0111059
Step 1600, t = 32/35, IDD = 0.012942
Step 1700, t = 34/35, IDD = 0.00304116
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
